Category,DayOfWeek,X,Y,Year,Month,Day,Hour,Minute,Second
1,1,-122.408428562526,37.7970370435233,2003,6,13,19,0,0
1,2,-122.400069732781,37.7996820176803,2003,5,13,4,30,0
1,1,-122.403404791479,37.775420706711,2014,9,5,20,30,0
1,3,-122.43428763833,37.7868593625916,2008,10,15,10,30,0
1,1,-122.403793259489,37.7823235897616,2007,10,5,16,45,0
1,4,-122.409890966539,37.779260733137896,2007,3,10,12,15,0
1,4,-122.433220475272,37.77748926523979,2004,1,24,2,0,0
1,1,-122.42535076491,37.7722825266526,2006,11,17,18,30,0
1,5,-122.404799424951,37.7944525389481,2010,9,9,22,30,0
1,1,-122.420512730767,37.7593349069014,2006,4,7,2,0,0
1,4,-122.452289660492,37.72569335757029,2010,10,9,0,30,0
1,6,-122.395689644183,37.7632561376126,2004,3,29,22,0,0
1,5,-122.407545855931,37.784401179486,2008,3,20,19,30,0
1,7,-122.471019013347,37.76205893116629,2008,11,2,10,45,0
1,6,-122.387939452192,37.7422600519555,2012,10,1,0,1,0
1,6,-122.414449135147,37.8055701762625,2012,4,16,12,45,0
